Date,Rate,"ISO Code From","ISO Code To"
"11/29/2023 Wednesday","15,458.50000",USD,IDR
"11/30/2023 Thursday","15,558.55000",USD,IDR
"12/1/2023 Friday","15,412.65000",USD,IDR
"12/4/2023 Monday","15,484.66914",USD,IDR
"12/5/2023 Tuesday","15,463.06189",USD,IDR
"12/6/2023 Wednesday","15,513.67995",USD,IDR
"12/7/2023 Thursday","15,506.52227",USD,IDR
"12/8/2023 Friday","15,573.00000",USD,IDR
"12/11/2023 Monday","15,653.08607",USD,IDR
"12/12/2023 Tuesday","15,576.21826",USD,IDR
"12/13/2023 Wednesday","15,360.00000",USD,IDR
"12/14/2023 Thursday","15,475.54422",USD,IDR
"12/15/2023 Friday","15,528.85000",USD,IDR
